CATEGORY,COURSE_TITLE,COLLEGE,COURSE_CODE,2020,2021,2022_PREDICTION,LEVEL
Business and administration,International Business,American College,AC120,209,294,414,8
Humanities (except languages),Liberal Arts,American College,AC137,252,271,291,8
Arts,"First Year Art & Design (Common Entry,portfolio)",National College of Art and Design,AD101,NA,554,554,8
Arts,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,AD102,NA,538,538,8
Arts,Textile & Surface Design and Jewellery & Objects (portfolio),National College of Art and Design,AD103,NA,505,505,8
Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",National College of Art and Design,AD202,NA,591,591,8
Arts,Fine Art (portfolio),National College of Art and Design,AD204,NA,514,514,8
Arts,Fashion Design (portfolio),National College of Art and Design,AD211,NA,760,760,8
Arts,Product Design (portfolio),National College of Art and Design,AD212,NA,413,413,8
Arts,Visual Culture,National College of Art and Design,AD215,377,337,301,8
Arts,Illustration (portfolio),National College of Art and Design,AD217,NA,738,738,8
Information and Communication Technologies (ICTs),Interaction Design (portfolio),National College of Art and Design,AD222,NA,444,444,8
Information and Communication Technologies (ICTs),Software Design,Athlone Institute of Technology,AL600,NA,NA,NA,6
Engineering and engineering trades,Computer Engineering,Athlone Institute of Technology,AL601,NA,NA,NA,6
Engineering and engineering trades,Mechanical Engineering,Athlone Institute of Technology,AL602,NA,NA,NA,6
Architecture and construction,Civil Engineering,Athlone Institute of Technology,AL604,NA,NA,NA,6
Engineering and engineering trades,Music and Instrument Technology,Athlone Institute of Technology,AL605,NA,211,NA,6
Health,Pharmacy Technician,Athlone Institute of Technology,AL630,295,308,322,6
Health,Dental Nursing,Athlone Institute of Technology,AL631,300,311,322,6
Biological and related sciences,Applied Science,Athlone Institute of Technology,AL632,234,297,377,6
Business and administration,Business,Athlone Institute of Technology,AL650,207,NA,NA,6
Personal services,Culinary Arts,Athlone Institute of Technology,AL660,NA,NA,NA,6
Personal services,Bar Supervision,Athlone Institute of Technology,AL661,NA,NA,NA,6
Personal services,Business (Sport and Recreation),Athlone Institute of Technology,AL663,NA,NA,NA,6
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,Athlone Institute of Technology,AL701,216,207,198,7
Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,AL702,214,220,226,7
Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,Athlone Institute of Technology,AL703,216,211,206,7
Information and Communication Technologies (ICTs),Computer Engineering,Athlone Institute of Technology,AL704,204,210,216,7
Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,Athlone Institute of Technology,AL705,216,250,289,7
Engineering and engineering trades,Mechanical Engineering,Athlone Institute of Technology,AL710,223,243,265,7
Engineering and engineering trades,Mechanical Engineering and Renewable Energy,Athlone Institute of Technology,AL711,228,238,248,7
Engineering and engineering trades,Automation and Robotics,Athlone Institute of Technology,AL712,252,247,242,7
Engineering and engineering trades,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),Athlone Institute of Technology,AL713,218,226,234,7
Engineering and engineering trades,Music and Sound Engineering,Athlone Institute of Technology,AL718,214,242,274,7
Architecture and construction,Civil Engineering,Athlone Institute of Technology,AL721,233,242,251,7
Biological and related sciences,Biotechnology,Athlone Institute of Technology,AL730,250,261,272,7
Veterinary,Veterinary Nursing,Athlone Institute of Technology,AL731,400,421,443,7
Physical sciences,Pharmaceutical Sciences (Drug Development and Analysis),Athlone Institute of Technology,AL734,244,244,244,7
Personal services,Exercise and Health Science,Athlone Institute of Technology,AL740,250,251,252,7
Business and administration,Digital Marketing,Athlone Institute of Technology,AL751,241,241,241,7
Business and administration,Business,Athlone Institute of Technology,AL752,225,223,221,7
Personal services,Hotel and Leisure Management,Athlone Institute of Technology,AL761,208,NA,NA,7
Arts,Graphic Design (portfolio),Athlone Institute of Technology,AL763,781,642,528,7
Welfare,Early Years Care and Education,Athlone Institute of Technology,AL764,260,260,260,7
Welfare,Applied Social Studies in Social Care,Athlone Institute of Technology,AL765,280,300,321,7
Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,Athlone Institute of Technology,AL801,303,300,297,8
Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,AL802,332,313,295,8
Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,Athlone Institute of Technology,AL803,337,350,364,8
Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,Athlone Institute of Technology,AL805,333,321,309,8
Architecture and construction,Quantity Surveying,Athlone Institute of Technology,AL810,319,328,337,8
Architecture and construction,Civil Engineering,Athlone Institute of Technology,AL811,320,0,NA,8
Manufacturing and processing,Mechanical and Polymer Engineering,Athlone Institute of Technology,AL820,308,327,347,8
Health,General Nursing,Athlone Institute of Technology,AL830,442,451,460,8
Health,Psychiatric Nursing,Athlone Institute of Technology,AL832,387,440,500,8
Health,Nutrition and Health Science,Athlone Institute of Technology,AL836,334,346,358,8
Personal services,Sports Science with Exercise Physiology,Athlone Institute of Technology,AL837,351,357,363,8
Biological and related sciences,Biotechnology,Athlone Institute of Technology,AL838,307,324,342,8
Biological and related sciences,Microbiology,Athlone Institute of Technology,AL839,325,325,325,8
Physical sciences,Pharmaceutical Sciences,Athlone Institute of Technology,AL840,347,346,345,8
Health,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,AL841,430,477,529,8
Biological and related sciences,Bioveterinary Science,Athlone Institute of Technology,AL842,313,338,365,8
Health,Physical Activity and Health Science,Athlone Institute of Technology,AL843,306,306,306,8
Business and administration,Business,Athlone Institute of Technology,AL850,309,309,309,8
Law,Business and Law,Athlone Institute of Technology,AL851,295,302,309,8
Business and administration,Accounting,Athlone Institute of Technology,AL852,309,336,365,8
Personal services,Sport Management (with international placement),Athlone Institute of Technology,AL854,302,300,298,8
Personal services,Hospitality Management (with international placement),Athlone Institute of Technology,AL855,308,309,310,8
Business and administration,Digital Marketing,Athlone Institute of Technology,AL857,304,304,304,8
Welfare,Social Care Practice,Athlone Institute of Technology,AL860,300,301,302,8
Arts,Animation and Illustration (portfolio),Athlone Institute of Technology,AL861,578,575,572,8
Arts,Graphic and Digital Design (portfolio),Athlone Institute of Technology,AL863,781,747,714,8
Welfare,Early Years Care and Education,Athlone Institute of Technology,AL864,307,306,305,8
Social and behavioural sciences,Applied Psychology,Athlone Institute of Technology,AL870,418,484,560,8
Education,"Education, Home Economics and Biology - with concurrent Teacher Ed",St. Angela`s College,AS001,510,542,576,8
Education,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",St. Angela`s College,AS002,441,464,488,8
Education,"Education, Home Economics and Irish - with concurrent Teacher Ed",St. Angela`s College,AS003,440,463,487,8
Business and administration,"Nutrition, Food and Business Management",St. Angela`s College,AS051,328,378,436,8
Biological and related sciences,Home Economics,St. Angela`s College,AS054,408,440,475,8
Health,General Nursing,St. Angela`s College,AS110,419,440,462,8
Health,Intellectual Disability Nursing,St. Angela`s College,AS130,336,387,446,8
Welfare,Counselling Skills and Psychotherapy Studies,Irish College of Humanities & Applied Sciences,CI001,300,NA,NA,7
Welfare,Counselling Skills and Addiction Studies,Irish College of Humanities & Applied Sciences,CI002,309,NA,NA,7
Welfare,Counselling Skills and Youth Studies,Irish College of Humanities & Applied Sciences,CI005,306,NA,NA,7
Welfare,Counselling and Psychotherapy,Irish College of Humanities & Applied Sciences,CI110,310,292,275,8
Welfare,Counselling and Addiction Studies,Irish College of Humanities & Applied Sciences,CI111,301,290,279,8
Welfare,Counselling and Youth Studies,Irish College of Humanities & Applied Sciences,CI112,311,325,340,8
Arts,Arts - 3 years,University College Cork (NUI),CK101,300,300,300,8
Social and behavioural sciences,Social Science,University College Cork (NUI),CK102,412,434,457,8
Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),University College Cork (NUI),CK104,302,339,381,8
Arts,Film and Screen Media - 3 years or 4 years (International Pathway),University College Cork (NUI),CK105,368,421,482,8
Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),University College Cork (NUI),CK107,328,312,297,8
Languages,Arts International - 4 years,University College Cork (NUI),CK108,401,440,483,8
Languages,English - 3 years or 4 years (International Pathway),University College Cork (NUI),CK109,318,367,424,8
Languages,World Languages,University College Cork (NUI),CK110,452,488,527,8
Welfare,Early Years and Childhood Studies,University College Cork (NUI),CK111,419,409,399,8
Arts,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),University College Cork (NUI),CK112,330,371,417,8
Social and behavioural sciences,Criminology - 3 years or 4 years (International Pathway),University College Cork (NUI),CK113,423,464,509,8
Welfare,Social Science (Youth and Community Work) - 3 years,University College Cork (NUI),CK114,NA,NA,NA,8
Welfare,Social Work - Mature Applicants only,University College Cork (NUI),CK115,NA,0,NA,8
Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),University College Cork (NUI),CK118,336,347,358,8
Social and behavioural sciences,Applied Psychology,University College Cork (NUI),CK120,533,544,555,8
Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),University College Cork (NUI),CK121,466,499,534,8
Social and behavioural sciences,Government and Political Science,University College Cork (NUI),CK122,337,399,472,8
Humanities (except languages),Anthropology,University College Cork (NUI),CK123,308,308,308,8
Education,Education - Gaeilge,University College Cork (NUI),CK124,463,473,483,8
Education,Sports Studies and Physical Education,University College Cork (NUI),CK125,510,564,624,8
Business and administration,Commerce,University College Cork (NUI),CK201,477,500,524,8
Business and administration,Accounting,University College Cork (NUI),CK202,509,553,601,8
Information and Communication Technologies (ICTs),Business Information Systems,University College Cork (NUI),CK203,430,455,481,8
Business and administration,Finance,University College Cork (NUI),CK204,556,566,576,8
Business and administration,Commerce (International) with French,University College Cork (NUI),CK205,445,465,486,8
Business and administration,Commerce (International) with German,University College Cork (NUI),CK206,420,466,517,8
Business and administration,Commerce (International) with Italian,University College Cork (NUI),CK207,388,423,461,8
Business and administration,Commerce (International) with Hispanic Studies,University College Cork (NUI),CK208,402,488,592,8
Business and administration,Commerce (International) with Irish,University College Cork (NUI),CK209,484,507,531,8
Business and administration,Commerce (International) with Chinese Studies,University College Cork (NUI),CK211,397,385,373,8
Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,University College Cork (NUI),CK212,444,445,446,8
Business and administration,Food Marketing and Entrepreneurship,University College Cork (NUI),CK213,462,466,470,8
Social and behavioural sciences,International Development,University College Cork (NUI),CK214,346,332,319,8
Law,Law (Pathways) -  3 or 4 years,University College Cork (NUI),CK301,507,533,560,8
Law,Law and French,University College Cork (NUI),CK302,542,545,548,8
Law,Law and Irish,University College Cork (NUI),CK304,540,588,640,8
Law,Law and Business,University College Cork (NUI),CK307,556,589,624,8
Information and Communication Technologies (ICTs),Computer Science,University College Cork (NUI),CK401,468,503,541,8
Biological and related sciences,Biological and Chemical Sciences,University College Cork (NUI),CK402,510,555,604,8
Biological and related sciences,"Biological, Earth and Environmental Sciences",University College Cork (NUI),CK404,467,500,535,8
Biological and related sciences,Genetics,University College Cork (NUI),CK405,487,543,605,8
Physical sciences,Chemical Sciences,University College Cork (NUI),CK406,485,532,584,8
Mathematics and statistics,Mathematical Sciences,University College Cork (NUI),CK407,566,566,566,8
Physical sciences,Physics and Astrophysics,University College Cork (NUI),CK408,554,566,578,8
Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,University College Cork (NUI),CK409,432,465,501,8
Information and Communication Technologies (ICTs),Data Science and Analytics,University College Cork (NUI),CK411,510,531,553,8
Agriculture,Agricultural Science,University College Cork (NUI),CK412,496,506,516,8
Biological and related sciences,Nutritional Sciences,University College Cork (NUI),CK504,518,555,595,8
Manufacturing and processing,Food Science,University College Cork (NUI),CK505,441,463,486,8
Engineering and engineering trades,Engineering,University College Cork (NUI),CK600,487,510,534,8
Architecture and construction,Architecture - Offered jointly by UCC and CIT,University College Cork (NUI),CK606,484,543,609,8
Health,Medicine (Undergraduate Entry - HPAT required),University College Cork (NUI),CK701,731,738,745,8
Health,Dentistry,University College Cork (NUI),CK702,613,625,637,8
Health,Pharmacy,University College Cork (NUI),CK703,590,613,637,8
Health,Occupational Therapy,University College Cork (NUI),CK704,566,601,638,8
Health,Speech and Language Therapy,University College Cork (NUI),CK705,520,568,620,8
Health,Public Health Sciences,University College Cork (NUI),CK706,454,500,551,8
Health,Medical and Health Sciences,University College Cork (NUI),CK707,542,578,616,8
Health,General Nursing,University College Cork (NUI),CK710,454,498,546,8
Health,Children`s and General Nursing (Integrated),University College Cork (NUI),CK712,533,565,599,8
Health,Mental Health Nursing,University College Cork (NUI),CK720,423,455,489,8
Health,Intellectual Disability Nursing,University College Cork (NUI),CK730,419,431,443,8
Health,Midwifery,University College Cork (NUI),CK740,484,509,535,8
Health,Medicine  - Graduate Entry (GAMSAT required),University College Cork (NUI),CK791,57,60,63,8
Education,Education - Primary Teaching,Marino Institute of Education,CM001,484,508,533,8
Education,Education - Primary Teaching - Gaeltacht Applicants,Marino Institute of Education,CM002,NA,462,NA,8
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,Marino Institute of Education,CM003,528,513,498,8
Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,Marino Institute of Education,CM004,494,480,466,8
Education,Education Studies,Marino Institute of Education,CM010,319,382,457,8
Education,Early Childhood Education,Marino Institute of Education,CM020,327,317,307,8
Physical sciences,Applied Physics and Instrumentation,Cork Institute of Technology,CR001,250,292,341,7
Biological and related sciences,Applied Biosciences,Cork Institute of Technology,CR006,361,420,489,7
Physical sciences,Analytical and Pharmaceutical Chemistry,Cork Institute of Technology,CR007,240,272,308,7
Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),Cork Institute of Technology,CR010,321,336,352,7
Information and Communication Technologies (ICTs),Software Development,Cork Institute of Technology,CR016,307,351,401,7
Business and administration,Business (Common Entry),Cork Institute of Technology,CR021,255,253,251,7
Business and administration,Business Administration,Cork Institute of Technology,CR022,190,172,156,7
Welfare,Social Care Work,Cork Institute of Technology,CR031,346,360,375,7
Personal services,Recreation and Leisure Management,Cork Institute of Technology,CR032,298,343,395,7
Welfare,Community Development,Cork Institute of Technology,CR035,100,133,177,7
Personal services,Tourism Management,Cork Institute of Technology,CR041,216,212,208,7
Personal services,Hospitality Management,Cork Institute of Technology,CR042,208,205,202,7
Transport services,Automotive Technology and Management,Cork Institute of Technology,CR046,216,227,239,7
Architecture and construction,Civil Engineering,Cork Institute of Technology,CR051,248,261,275,7
Architecture and construction,Construction,Cork Institute of Technology,CR052,251,270,290,7
Arts,Interior Architecture,Cork Institute of Technology,CR053,308,375,457,7
Engineering and engineering trades,Environmental Engineering,Cork Institute of Technology,CR055,258,297,342,7
Engineering and engineering trades,Electronic Engineering,Cork Institute of Technology,CR061,260,300,346,7
Engineering and engineering trades,Electrical Engineering,Cork Institute of Technology,CR062,300,320,341,7
Engineering and engineering trades,Mechanical Engineering,Cork Institute of Technology,CR071,261,263,265,7
Health,Biomedical Engineering,Cork Institute of Technology,CR075,306,315,324,7
Architecture and construction,Architectural Technology,Cork Institute of Technology,CR090,266,308,357,7
Transport services,Nautical Science at National Maritime College of Ireland,Cork Institute of Technology,CR094,243,256,270,7
Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,Cork Institute of Technology,CR095,255,234,215,7
Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,Cork Institute of Technology,CR105,443,443,443,8
Information and Communication Technologies (ICTs),Software Development,Cork Institute of Technology,CR106,411,431,452,8
Engineering and engineering trades,Mechanical Engineering,Cork Institute of Technology,CR108,434,434,434,8
Architecture and construction,Structural Engineering,Cork Institute of Technology,CR109,394,396,398,8
Transport services,Automotive Business Management and Technology,Cork Institute of Technology,CR110,311,336,363,8
Arts,Creative Digital Media,Cork Institute of Technology,CR112,361,390,421,8
Information and Communication Technologies (ICTs),Computer Systems,Cork Institute of Technology,CR116,332,365,401,8
Arts,Music at CIT Cork School of Music,Cork Institute of Technology,CR121,868,904,941,8
Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,Cork Institute of Technology,CR125,1088,1028,971,8
Arts,Popular Music: Drums at CIT Cork School of Music,Cork Institute of Technology,CR126,801,NA,NA,8
Arts,Popular Music: Electric Guitar at CIT Cork School of Music,Cork Institute of Technology,CR127,838,NA,NA,8
Arts,Popular Music: Keyboards at CIT Cork School of Music,Cork Institute of Technology,CR128,840,NA,NA,8
Arts,Popular Music: Voice at CIT Cork School of Music,Cork Institute of Technology,CR129,841,NA,NA,8
Arts,Musical Theatre at CIT Cork School of Music,Cork Institute of Technology,CR130,548,525,503,8
Business and administration,Business Information Systems,Cork Institute of Technology,CR150,335,350,366,8
Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",Cork Institute of Technology,CR210,NA,450,NA,8
Arts,Fine Art at CIT Crawford College of Art and Design,Cork Institute of Technology,CR220,NA,400,NA,8
Arts,Photography with New Media,Cork Institute of Technology,CR225,NA,435,NA,8
Physical sciences,Physical Sciences (Common Entry),Cork Institute of Technology,CR300,282,260,240,7
Physical sciences,Physical Sciences (Common Entry),Cork Institute of Technology,CR305,282,260,240,8
Information and Communication Technologies (ICTs),IT Management,Cork Institute of Technology,CR310,297,347,405,8
Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,Cork Institute of Technology,CR320,565,590,616,8
Biological and related sciences,Pharmaceutical Biotechnology,Cork Institute of Technology,CR325,398,466,546,8
Health,Nutrition and Health Science,Cork Institute of Technology,CR333,402,425,449,8
Biological and related sciences,Biological Sciences (Common Entry),Cork Institute of Technology,CR335,420,473,533,8
Physical sciences,Analytical Chemistry with Quality Assurance,Cork Institute of Technology,CR340,251,327,426,8
Physical sciences,Instrument Engineering,Cork Institute of Technology,CR360,261,301,347,8
Environment,Environmental Science and Sustainable Technology,Cork Institute of Technology,CR365,253,262,271,8
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,Cork Institute of Technology,CR370,397,368,341,8
Business and administration,Accounting,Cork Institute of Technology,CR400,316,315,314,8
Business and administration,Marketing,Cork Institute of Technology,CR420,285,290,295,8
Business and administration,International Business with Language,Cork Institute of Technology,CR425,298,279,261,8
Personal services,Sport and Exercise Management,Cork Institute of Technology,CR430,322,402,502,8
Education,Montessori Education,Cork Institute of Technology,CR440,288,409,581,8
Engineering and engineering trades,Engineering (Common Entry),Cork Institute of Technology,CR500,411,475,549,8
Environment,Sustainable Energy Engineering,Cork Institute of Technology,CR510,320,320,320,8
Health,Biomedical Engineering,Cork Institute of Technology,CR520,444,444,444,8
Architecture and construction,Architectural Technology,Cork Institute of Technology,CR560,308,375,457,8
Architecture and construction,Interior Architecture,Cork Institute of Technology,CR565,359,431,517,8
Architecture and construction,Quantity Surveying,Cork Institute of Technology,CR570,336,375,419,8
Architecture and construction,Construction Management,Cork Institute of Technology,CR572,269,300,335,8
Engineering and engineering trades,Electrical Engineering,Cork Institute of Technology,CR580,318,342,368,8
Engineering and engineering trades,Electronic Engineering,Cork Institute of Technology,CR590,303,329,357,8
Arts,Visual Communications,Cork Institute of Technology,CR600,NA,280,NA,8
Welfare,Early Childhood Education and Care,Cork Institute of Technology,CR620,365,397,432,7
Personal services,Culinary Arts,Cork Institute of Technology,CR640,244,220,198,7
Personal services,Beverage Industry Management,Cork Institute of Technology,CR650,209,193,178,7
Personal services,Culinary Studies,Cork Institute of Technology,CR655,189,196,203,6
Personal services,Hospitality Studies,Cork Institute of Technology,CR657,180,171,162,6
Personal services,Tourism Management,Cork Institute of Technology,CR660,252,246,240,8
Arts,Theatre and Drama Studies at CIT Cork School of Music,Cork Institute of Technology,CR700,740,609,501,8
Engineering and engineering trades,Marine Electrotechnology at National Maritime College of Ireland,Cork Institute of Technology,CR805,235,229,223,7
Information and Communication Technologies (ICTs),Information Technology,Cork Institute of Technology,CR888,290,300,310,7
Information and Communication Technologies (ICTs),Computing in Information Technology,CCT College Dublin,CT110,210,NA,NA,6
Information and Communication Technologies (ICTs),Information Technology,CCT College Dublin,CT116,219,NA,NA,7
Information and Communication Technologies (ICTs),Information Technology,CCT College Dublin,CT125,220,242,266,8
Business and administration,Business,CCT College Dublin,CT325,338,253,189,8
Business and administration,Business,"Institute of Technology, Carlow",CW006,NA,171,NA,6
Business and administration,Business (options),"Institute of Technology, Carlow",CW018,298,307,316,8
Agriculture,Sustainable Farm Management and Agribusiness,"Institute of Technology, Carlow",CW027,266,236,209,7
Welfare,Early Childhood Education and Care,"Institute of Technology, Carlow",CW028,252,260,268,8
Business and administration,Business (options),"Institute of Technology, Carlow",CW037,195,279,399,7
Arts,Art (portfolio),"Institute of Technology, Carlow",CW038,700,NA,NA,8
Arts,Visual Communications and Design,"Institute of Technology, Carlow",CW047,214,241,271,7
Arts,Art (portfolio),"Institute of Technology, Carlow",CW057,700,NA,NA,7
Personal services,Tourism and Event Management,"Institute of Technology, Carlow",CW058,298,292,286,8
Welfare,Applied Social Studies in Professional Social Care,"Institute of Technology, Carlow",CW068,245,250,255,8
Personal services,Tourism and Event Management,"Institute of Technology, Carlow",CW077,217,223,229,7
Agriculture,Sustainable Farm Management and Agribusiness,"Institute of Technology, Carlow",CW078,269,270,271,8
Arts,Visual Communications and Design,"Institute of Technology, Carlow",CW088,274,270,266,8
Health,Physiology and Health Science,"Institute of Technology, Carlow",CW106,451,451,451,6
Environment,Analytical Science,"Institute of Technology, Carlow",CW107,277,261,246,7
Biological and related sciences,Science (options),"Institute of Technology, Carlow",CW108,261,266,271,8
Health,Pharmacy Technician Studies,"Institute of Technology, Carlow",CW116,250,224,201,6
Environment,Biosciences,"Institute of Technology, Carlow",CW117,205,215,225,7
Biological and related sciences,Science - Applied Biology or Applied Chemistry,"Institute of Technology, Carlow",CW126,191,251,330,6
Biological and related sciences,Brewing and Distilling,"Institute of Technology, Carlow",CW128,263,307,358,8
Personal services,Sport and Exercise Science,"Institute of Technology, Carlow",CW138,423,430,437,8
Personal services,Strength and Conditioning,"Institute of Technology, Carlow",CW148,379,388,397,8
Health,Sport Rehabilitation and Athletic Therapy,"Institute of Technology, Carlow",CW188,451,451,451,8
Information and Communication Technologies (ICTs),Computing - Applications or Programming,"Institute of Technology, Carlow",CW206,235,236,237,6
Information and Communication Technologies (ICTs),Software Development,"Institute of Technology, Carlow",CW207,244,245,246,7
Information and Communication Technologies (ICTs),Computer Games Development,"Institute of Technology, Carlow",CW208,279,272,265,8
Information and Communication Technologies (ICTs),Information Technology Management,"Institute of Technology, Carlow",CW217,234,269,309,7
Information and Communication Technologies (ICTs),Cybercrime and IT Security,"Institute of Technology, Carlow",CW227,233,220,208,7
Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,"Institute of Technology, Carlow",CW237,212,227,243,7
Information and Communication Technologies (ICTs),Software Development,"Institute of Technology, Carlow",CW238,297,295,293,8
Information and Communication Technologies (ICTs),Information Technology Management,"Institute of Technology, Carlow",CW248,285,293,301,8
Information and Communication Technologies (ICTs),Cybercrime and IT Security,"Institute of Technology, Carlow",CW258,293,292,291,8
Information and Communication Technologies (ICTs),Computing in Interactive Digital Art and Design,"Institute of Technology, Carlow",CW268,287,291,295,8
Architecture and construction,Architectural Technology,"Institute of Technology, Carlow",CW407,188,234,291,7
Architecture and construction,Construction Management with Building Services,"Institute of Technology, Carlow",CW417,220,225,230,7
Architecture and construction,Civil Engineering,"Institute of Technology, Carlow",CW427,199,208,217,7
Architecture and construction,Construction (options),"Institute of Technology, Carlow",CW438,272,260,249,8
Architecture and construction,Architectural Technology,"Institute of Technology, Carlow",CW468,262,291,323,8
Architecture and construction,Civil Engineering,"Institute of Technology, Carlow",CW478,433,465,499,8
Engineering and engineering trades,Aircraft Systems,"Institute of Technology, Carlow",CW507,293,293,293,7
Engineering and engineering trades,Mechanical Engineering,"Institute of Technology, Carlow",CW517,276,290,305,7
Engineering and engineering trades,Electronic Engineering,"Institute of Technology, Carlow",CW527,227,226,225,7
Arts,TV and Media Production,"Institute of Technology, Carlow",CW547,301,303,305,7
Engineering and engineering trades,Mechanical Engineering,"Institute of Technology, Carlow",CW548,321,330,339,8
Engineering and engineering trades,Electronic Systems,"Institute of Technology, Carlow",CW558,280,280,280,8
Engineering and engineering trades,Aerospace Engineering,"Institute of Technology, Carlow",CW568,380,371,362,8
Arts,TV and Media Production,"Institute of Technology, Carlow",CW578,325,318,311,8
Law,Legal Studies,"Institute of Technology, Carlow",CW706,163,174,186,6
Arts,Industrial Design,"Institute of Technology, Carlow",CW707,207,241,281,7
Law,Law - LLB,"Institute of Technology, Carlow",CW708,302,292,282,8
Welfare,Professional Social Care Practice,"Institute of Technology, Carlow",CW717,288,271,255,7
Arts,Product Design Innovation,"Institute of Technology, Carlow",CW728,252,246,240,8
Welfare,Early Childhood Education and Care,"Institute of Technology, Carlow",CW748,270,290,311,8
Welfare,Professional Social Care Practice,"Institute of Technology, Carlow",CW758,336,360,386,8
Personal services,Sport Coaching and Business Management - GAA (portfolio),"Institute of Technology, Carlow",CW807,700,700,700,7
Business and administration,Media and Public Relations,"Institute of Technology, Carlow",CW808,251,247,243,8
Personal services,Sport Coaching and Business Management - Rugby (portfolio),"Institute of Technology, Carlow",CW817,700,700,700,7
Personal services,Sport Coaching and Business Management - Soccer (portfolio),"Institute of Technology, Carlow",CW827,700,700,700,7
Information and Communication Technologies (ICTs),Digital Marketing with Analytics,"Institute of Technology, Carlow",CW837,200,215,231,7
Information and Communication Technologies (ICTs),Digital Marketing with Analytics,"Institute of Technology, Carlow",CW848,254,269,285,8
Personal services,"Sports Management and Coaching (options, portfolio)","Institute of Technology, Carlow",CW858,700,700,700,8
Business and administration,Business,"Institute of Technology, Carlow",CW906,177,164,152,6
Business and administration,Business (options),"Institute of Technology, Carlow",CW908,280,272,264,8
Business and administration,Business (options),"Institute of Technology, Carlow",CW917,224,228,232,7
Business and administration,Business with Law,"Institute of Technology, Carlow",CW926,210,204,198,6
Business and administration,Accounting,"Institute of Technology, Carlow",CW936,231,207,185,6
Business and administration,Business with Law,"Institute of Technology, Carlow",CW938,283,270,258,8
Business and administration,Accounting,"Institute of Technology, Carlow",CW948,300,319,339,8
Information and Communication Technologies (ICTs),Computing,Dublin Business School,DB500,218,234,251,8
Information and Communication Technologies (ICTs),Computing (Cloud Computing),Dublin Business School,DB501,227,0,NA,8
Information and Communication Technologies (ICTs),Computing (Data Analytics and Big Data),Dublin Business School,DB502,341,267,209,8
Information and Communication Technologies (ICTs),Computing (Software Development),Dublin Business School,DB503,225,0,NA,8
Information and Communication Technologies (ICTs),Computing (Web and Mobile Technology),Dublin Business School,DB504,NA,0,NA,8
Arts,Audio Production and Music Project Management,Dublin Business School,DB510,234,217,201,8
Business and administration,Business Studies,Dublin Business School,DB512,218,243,271,8
Business and administration,Business Studies (Law),Dublin Business School,DB514,252,239,227,8
Business and administration,Business Studies (Human Resource Management),Dublin Business School,DB515,244,242,240,8
Business and administration,Financial Services,Dublin Business School,DB516,NA,NA,NA,8
Business and administration,Marketing (Event Management),Dublin Business School,DB517,238,233,228,8
Business and administration,Accounting and Finance,Dublin Business School,DB521,225,243,262,8
Information and Communication Technologies (ICTs),Business (Information Systems),Dublin Business School,DB524,342,247,178,8
Information and Communication Technologies (ICTs),Business (Cloud Computing),Dublin Business School,DB526,347,244,172,8
Social and behavioural sciences,Applied Social Care,Dublin Business School,DB527,234,254,276,8
Social and behavioural sciences,Applied Social Care,Dublin Business School,DB528,NA,146,NA,7
Business and administration,Marketing,Dublin Business School,DB531,293,288,283,8
Arts,Sound Engineering and Music Production,Dublin Business School,DB534,NA,139,NA,6
Social and behavioural sciences,Psychology,Dublin Business School,DB562,243,244,245,8
